sample,feature,criterion,selected_n_breaks,break_rank,break_date,nearest_event,distance_days
oos_2020_2023,momentum_factor_trailing_3m,bic,2,1,2021-09-30,2022_rate_hike_stress,152
oos_2020_2023,momentum_factor_trailing_3m,bic,2,2,2022-06-30,2022_rate_hike_stress,121
oos_2020_2023,momentum_factor_trailing_3m,lwz_like,2,1,2021-09-30,2022_rate_hike_stress,152
oos_2020_2023,momentum_factor_trailing_3m,lwz_like,2,2,2022-06-30,2022_rate_hike_stress,121
oos_2020_2023,momentum_factor_trailing_6m,bic,2,1,2021-09-30,2022_rate_hike_stress,152
oos_2020_2023,momentum_factor_trailing_6m,bic,2,2,2022-10-31,2022_rate_hike_stress,244
oos_2020_2023,momentum_factor_trailing_6m,lwz_like,2,1,2021-09-30,2022_rate_hike_stress,152
oos_2020_2023,momentum_factor_trailing_6m,lwz_like,2,2,2022-10-31,2022_rate_hike_stress,244
oos_2020_2023,momentum_factor_vol_3m,bic,2,1,2022-06-30,2022_rate_hike_stress,121
oos_2020_2023,momentum_factor_vol_3m,bic,2,2,2023-03-31,2022_rate_hike_stress,395
oos_2020_2023,momentum_factor_vol_3m,lwz_like,2,1,2022-06-30,2022_rate_hike_stress,121
oos_2020_2023,momentum_factor_vol_3m,lwz_like,2,2,2023-03-31,2022_rate_hike_stress,395
oos_2020_2023,momentum_factor_vol_6m,bic,2,1,2021-04-30,2022_rate_hike_stress,305
oos_2020_2023,momentum_factor_vol_6m,bic,2,2,2022-03-31,2022_rate_hike_stress,30
oos_2020_2023,momentum_factor_vol_6m,lwz_like,2,1,2021-04-30,2022_rate_hike_stress,305
oos_2020_2023,momentum_factor_vol_6m,lwz_like,2,2,2022-03-31,2022_rate_hike_stress,30
full_2015_2023,strategy_vol_3m,bic,4,1,2016-12-31,2016_momentum_crash,305
full_2015_2023,strategy_vol_3m,bic,4,2,2019-04-30,2020_covid_crash,306
full_2015_2023,strategy_vol_3m,bic,4,3,2022-09-30,2022_rate_hike_stress,213
full_2015_2023,strategy_vol_3m,bic,4,4,2023-03-31,2022_rate_hike_stress,395
full_2015_2023,strategy_vol_3m,lwz_like,4,1,2016-12-31,2016_momentum_crash,305
full_2015_2023,strategy_vol_3m,lwz_like,4,2,2019-04-30,2020_covid_crash,306
full_2015_2023,strategy_vol_3m,lwz_like,4,3,2022-09-30,2022_rate_hike_stress,213
full_2015_2023,strategy_vol_3m,lwz_like,4,4,2023-03-31,2022_rate_hike_stress,395
full_2015_2023,strategy_vol_6m,bic,4,1,2016-11-30,2016_momentum_crash,274
full_2015_2023,strategy_vol_6m,bic,4,2,2019-04-30,2020_covid_crash,306
full_2015_2023,strategy_vol_6m,bic,4,3,2022-09-30,2022_rate_hike_stress,213
full_2015_2023,strategy_vol_6m,bic,4,4,2023-03-31,2022_rate_hike_stress,395
full_2015_2023,strategy_vol_6m,lwz_like,4,1,2016-11-30,2016_momentum_crash,274
full_2015_2023,strategy_vol_6m,lwz_like,4,2,2019-04-30,2020_covid_crash,306
full_2015_2023,strategy_vol_6m,lwz_like,4,3,2022-09-30,2022_rate_hike_stress,213
full_2015_2023,strategy_vol_6m,lwz_like,4,4,2023-03-31,2022_rate_hike_stress,395
full_2015_2023,market_vol_3m,bic,4,1,2015-12-31,2016_momentum_crash,61
full_2015_2023,market_vol_3m,bic,4,2,2018-09-30,2020_covid_crash,518
full_2015_2023,market_vol_3m,bic,4,3,2022-06-30,2022_rate_hike_stress,121
full_2015_2023,market_vol_3m,bic,4,4,2023-02-28,2022_rate_hike_stress,364
full_2015_2023,market_vol_3m,lwz_like,4,1,2015-12-31,2016_momentum_crash,61
full_2015_2023,market_vol_3m,lwz_like,4,2,2018-09-30,2020_covid_crash,518
full_2015_2023,market_vol_3m,lwz_like,4,3,2022-06-30,2022_rate_hike_stress,121
full_2015_2023,market_vol_3m,lwz_like,4,4,2023-02-28,2022_rate_hike_stress,364
full_2015_2023,market_vol_6m,bic,4,1,2016-05-31,2016_momentum_crash,91
full_2015_2023,market_vol_6m,bic,4,2,2018-09-30,2020_covid_crash,518
full_2015_2023,market_vol_6m,bic,4,3,2020-02-29,2020_covid_crash,1
full_2015_2023,market_vol_6m,bic,4,4,2020-08-31,2020_covid_crash,183
